"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"modelo 0 - periodico.nlogo"
"periodic_experiment_1000"
"08/26/2024 21:32:41:128 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","9","-9","0"
"[run number]","[step]","mean [xcor] of turtles","-1 * mean [ycor] of turtles","standard-deviation ([xcor] of turtles)","standard-deviation ([ycor] of turtles)"
"10","5000","5","4.48","0","0.5046720495044485"
"1","5000","4.48","5","0.5046720495044484","0"
"4","5000","5.52","5","0.5046720495044485","0"
"2","5000","5.52","5","0.5046720495044483","0"
"3","5000","4.48","5","0.5046720495044487","0"
"9","5000","5","4.48","0","0.5046720495044484"
"7","5000","5","4.48","0","0.5046720495044485"
"6","5000","4.48","5","0.5046720495044487","0"
"8","5000","4.48","5","0.5046720495044484","0"
"5","5000","5","4.48","0","0.5046720495044483"
"11","5000","5","5.52","0","0.5046720495044484"
"12","5000","5","4.48","0","0.5046720495044484"
"13","5000","4.48","5","0.5046720495044484","0"
"14","5000","5","4.48","0","0.5046720495044484"
"17","5000","5","4.48","0","0.5046720495044485"
"15","5000","4.48","5","0.5046720495044485","0"
"16","5000","4.48","5","0.5046720495044484","0"
"18","5000","5","4.48","0","0.5046720495044484"
"19","5000","5.52","5","0.5046720495044485","0"
"20","5000","5","4.48","0","0.5046720495044484"
"21","5000","5","5.52","0","0.5046720495044484"
"22","5000","5","4.48","0","0.5046720495044485"
"23","5000","5","5.52","0","0.5046720495044487"
"24","5000","5","5.52","0","0.5046720495044485"
"26","5000","5","5.52","0","0.5046720495044485"
"25","5000","5","4.48","0","0.5046720495044484"
"27","5000","4.48","5","0.5046720495044485","0"
"28","5000","5.52","5","0.5046720495044484","0"
"29","5000","5","5.52","0","0.5046720495044485"
"30","5000","5.52","5","0.5046720495044484","0"
"31","5000","5","5.52","0","0.5046720495044485"
"33","5000","4","5.48","0","0.5046720495044484"
"34","5000","5.52","5","0.5046720495044484","0"
"35","5000","5.52","5","0.5046720495044484","0"
"37","5000","5","5.52","0","0.5046720495044485"
"32","5000","4.48","5","0.5046720495044484","0"
"36","5000","5.52","5","0.5046720495044484","0"
"38","5000","5","4.48","0","0.5046720495044485"
"39","5000","5.52","5","0.5046720495044484","0"
"40","5000","4.48","5","0.5046720495044485","0"
"41","5000","5.52","5","0.5046720495044487","0"
"42","5000","4.48","5","0.5046720495044485","0"
"45","5000","5","5.52","0","0.5046720495044484"
"43","5000","4.48","5","0.5046720495044485","0"
"44","5000","5.52","5","0.5046720495044484","0"
"47","5000","4.48","5","0.5046720495044485","0"
"48","5000","5.52","5","0.5046720495044484","0"
"46","5000","5.52","5","0.5046720495044484","0"
"49","5000","5.52","5","0.5046720495044484","0"
"50","5000","5","4.48","0","0.5046720495044485"
"51","5000","5","5.52","0","0.5046720495044484"
"52","5000","5","4.48","0","0.5046720495044484"
"53","5000","4.48","5","0.5046720495044484","0"
"54","5000","4.48","5","0.5046720495044485","0"
"55","5000","5","5.52","0","0.5046720495044484"
"57","5000","5","5.52","0","0.5046720495044484"
"56","5000","5.52","5","0.5046720495044485","0"
"58","5000","5","5.52","0","0.5046720495044485"
"59","5000","5.52","5","0.5046720495044485","0"
"60","5000","5.52","5","0.5046720495044487","0"
"61","5000","5","5.52","0","0.5046720495044485"
"63","5000","5","5.52","0","0.5046720495044484"
"62","5000","5.52","5","0.5046720495044485","0"
"64","5000","5","4.48","0","0.5046720495044485"
"65","5000","5.52","5","0.5046720495044485","0"
"66","5000","5","4.48","0","0.5046720495044484"
"67","5000","5","5.52","0","0.5046720495044484"
"68","5000","5","5.52","0","0.5046720495044485"
"69","5000","5","4.48","0","0.5046720495044484"
"70","5000","5","4.48","0","0.5046720495044485"
"71","5000","5.52","5","0.5046720495044484","0"
"72","5000","5","5.52","0","0.5046720495044484"
"73","5000","5","4.48","0","0.5046720495044485"
"74","5000","5","5.52","0","0.5046720495044485"
"75","5000","5","5.52","0","0.5046720495044485"
"76","5000","5","5.52","0","0.5046720495044485"
"77","5000","5","5.52","0","0.5046720495044485"
"79","5000","5","4.48","0","0.5046720495044484"
"78","5000","5.52","5","0.5046720495044485","0"
"80","5000","5","4.48","0","0.5046720495044485"
"81","5000","5","4.48","0","0.5046720495044485"
"82","5000","5","5.52","0","0.5046720495044484"
"83","5000","5","5.52","0","0.5046720495044484"
"84","5000","5","4.48","0","0.5046720495044484"
"85","5000","5","5.52","0","0.5046720495044484"
"86","5000","5","4.48","0","0.5046720495044487"
"87","5000","4.48","5","0.5046720495044483","0"
"88","5000","5.52","5","0.5046720495044484","0"
"90","5000","5","4.48","0","0.5046720495044487"
"89","5000","5.52","5","0.5046720495044484","0"
"91","5000","4.48","5","0.5046720495044484","0"
"92","5000","5","4.48","0","0.5046720495044484"
"93","5000","4.48","5","0.5046720495044485","0"
"95","5000","5","4.48","0","0.5046720495044484"
"94","5000","5.52","5","0.5046720495044484","0"
"96","5000","4.48","5","0.5046720495044484","0"
"97","5000","5.52","5","0.5046720495044485","0"
"98","5000","5.52","5","0.5046720495044484","0"
"99","5000","4.48","5","0.5046720495044485","0"
"100","5000","5","4.48","0","0.5046720495044484"
"102","5000","5","5.52","0","0.5046720495044485"
"101","5000","5","4.48","0","0.5046720495044484"
"103","5000","4.48","5","0.5046720495044485","0"
"104","5000","5.52","5","0.5046720495044484","0"
"105","5000","4.52","4","0.5046720495044483","0"
"106","5000","5.52","5","0.5046720495044487","0"
"107","5000","5","4.48","0","0.5046720495044484"
"108","5000","5","5.52","0","0.5046720495044484"
"109","5000","5","5.52","0","0.5046720495044484"
"110","5000","5","5.52","0","0.5046720495044483"
"111","5000","5","5.52","0","0.5046720495044485"
"112","5000","5.52","5","0.5046720495044487","0"
"114","5000","5","5.52","0","0.5046720495044484"
"113","5000","5.52","5","0.5046720495044484","0"
"116","5000","5.52","5","0.5046720495044485","0"
"115","5000","5.52","5","0.5046720495044484","0"
"117","5000","5","5.52","0","0.5046720495044484"
"118","5000","5","5.52","0","0.5046720495044484"
"120","5000","5","5.52","0","0.5046720495044484"
"119","5000","4.48","5","0.5046720495044485","0"
"121","5000","4.48","5","0.5046720495044485","0"
"122","5000","4.48","5","0.5046720495044485","0"
"123","5000","5","5.52","0","0.5046720495044485"
"124","5000","5","5.52","0","0.5046720495044487"
"125","5000","5","5.52","0","0.5046720495044484"
"126","5000","5","5.52","0","0.5046720495044484"
"128","5000","5","5.52","0","0.5046720495044484"
"127","5000","4.48","5","0.5046720495044485","0"
"129","5000","5","5.52","0","0.5046720495044485"
"130","5000","5","4.48","0","0.5046720495044484"
"131","5000","5","5.52","0","0.5046720495044484"
"132","5000","5","4.48","0","0.5046720495044484"
"133","5000","5","4.48","0","0.5046720495044485"
"134","5000","4","4.52","0","0.5046720495044484"
"135","5000","5","5.52","0","0.5046720495044484"
"136","5000","5","4.48","0","0.5046720495044484"
"139","5000","4.48","5","0.5046720495044485","0"
"138","5000","5","5.52","0","0.5046720495044485"
"137","5000","5.52","5","0.5046720495044485","0"
"140","5000","6","5.48","0","0.5046720495044485"
"141","5000","4.48","5","0.5046720495044485","0"
"142","5000","5.52","5","0.5046720495044485","0"
"143","5000","5","4.48","0","0.5046720495044484"
"145","5000","4.48","5","0.5046720495044485","0"
"144","5000","5.52","5","0.5046720495044485","0"
"146","5000","5.52","5","0.5046720495044483","0"
"147","5000","5.52","5","0.5046720495044487","0"
"149","5000","5","4.48","0","0.5046720495044485"
"148","5000","5.52","5","0.5046720495044484","0"
"150","5000","5","5.52","0","0.5046720495044484"
"151","5000","5","4.48","0","0.5046720495044484"
"152","5000","5.52","5","0.5046720495044485","0"
"153","5000","5","4.48","0","0.5046720495044484"
"154","5000","5","4.48","0","0.5046720495044483"
"155","5000","5","4.48","0","0.5046720495044485"
"156","5000","5","4.48","0","0.5046720495044484"
"157","5000","5.52","5","0.5046720495044483","0"
"158","5000","4.48","5","0.5046720495044485","0"
"159","5000","5.52","5","0.5046720495044484","0"
"160","5000","5","4.48","0","0.5046720495044485"
"161","5000","5","4.48","0","0.5046720495044485"
"162","5000","4.48","5","0.5046720495044483","0"
"163","5000","5.52","5","0.5046720495044484","0"
"164","5000","5.52","5","0.5046720495044484","0"
"165","5000","5.52","5","0.5046720495044484","0"
"167","5000","5.52","5","0.5046720495044484","0"
"166","5000","5.52","5","0.5046720495044484","0"
"168","5000","4.48","5","0.5046720495044484","0"
"169","5000","4.48","5","0.5046720495044483","0"
"170","5000","5","5.52","0","0.5046720495044485"
"171","5000","4.48","5","0.5046720495044484","0"
"172","5000","5","5.52","0","0.5046720495044485"
"176","5000","5","5.52","0","0.5046720495044484"
"173","5000","4.48","5","0.5046720495044485","0"
"174","5000","5.52","5","0.5046720495044484","0"
"175","5000","5.52","5","0.5046720495044485","0"
"177","5000","4.48","5","0.5046720495044484","0"
"178","5000","5","5.52","0","0.5046720495044485"
"179","5000","5","5.52","0","0.5046720495044484"
"180","5000","4.52","4","0.5046720495044485","0"
"181","5000","5","5.52","0","0.5046720495044485"
"182","5000","4.48","5","0.5046720495044485","0"
"183","5000","4.48","5","0.5046720495044484","0"
"185","5000","5.52","5","0.5046720495044485","0"
"184","5000","5.52","5","0.5046720495044484","0"
"186","5000","5.52","5","0.5046720495044484","0"
"187","5000","5","4.48","0","0.5046720495044484"
"188","5000","5","4.48","0","0.5046720495044484"
"189","5000","5","5.52","0","0.5046720495044484"
"190","5000","5.52","5","0.5046720495044484","0"
"191","5000","4.48","5","0.5046720495044485","0"
"192","5000","5","5.52","0","0.5046720495044484"
"193","5000","5.52","5","0.5046720495044485","0"
"195","5000","5","5.52","0","0.5046720495044484"
"194","5000","5.52","5","0.5046720495044487","0"
"196","5000","4.48","5","0.5046720495044483","0"
"198","5000","5","5.52","0","0.5046720495044484"
"197","5000","5","5.52","0","0.5046720495044484"
"199","5000","5","5.52","0","0.5046720495044485"
"200","5000","5","5.52","0","0.5046720495044485"
"201","5000","4.48","5","0.5046720495044485","0"
"202","5000","4.48","5","0.5046720495044484","0"
"203","5000","5","5.52","0","0.5046720495044484"
"205","5000","5","5.52","0","0.5046720495044484"
"204","5000","5","4.48","0","0.5046720495044487"
"206","5000","5","4.48","0","0.5046720495044484"
"207","5000","5","5.52","0","0.5046720495044485"
"209","5000","5","5.52","0","0.5046720495044484"
"208","5000","5","5.52","0","0.5046720495044485"
"210","5000","5.52","5","0.5046720495044485","0"
"211","5000","4.48","5","0.5046720495044484","0"
"212","5000","4.48","5","0.5046720495044484","0"
"213","5000","5","4.48","0","0.5046720495044484"
"214","5000","5","4.48","0","0.5046720495044485"
"215","5000","5","4.48","0","0.5046720495044484"
"216","5000","5","4.48","0","0.5046720495044484"
"217","5000","4.48","5","0.5046720495044485","0"
"218","5000","5.52","5","0.5046720495044484","0"
"219","5000","5","5.52","0","0.5046720495044485"
"220","5000","5","5.52","0","0.5046720495044485"
"221","5000","5.52","5","0.5046720495044485","0"
"223","5000","5.52","5","0.5046720495044485","0"
"222","5000","4.48","5","0.5046720495044485","0"
"224","5000","5.52","5","0.5046720495044483","0"
"225","5000","4.48","5","0.5046720495044485","0"
"226","5000","5.52","5","0.5046720495044484","0"
"227","5000","5","4.48","0","0.5046720495044484"
"229","5000","6","4.52","0","0.5046720495044485"
"228","5000","4.48","5","0.5046720495044484","0"
"230","5000","4.48","5","0.5046720495044487","0"
"231","5000","4.48","5","0.5046720495044487","0"
"232","5000","4.48","5","0.5046720495044485","0"
"233","5000","4.48","5","0.5046720495044484","0"
"234","5000","5","4.48","0","0.5046720495044484"
"235","5000","4.48","5","0.5046720495044485","0"
"236","5000","5","4.48","0","0.5046720495044485"
"237","5000","5","4.48","0","0.5046720495044484"
"239","5000","5","5.52","0","0.5046720495044484"
"238","5000","5","4.48","0","0.5046720495044485"
"240","5000","5","4.48","0","0.5046720495044485"
"241","5000","5","5.52","0","0.5046720495044485"
"242","5000","4.48","5","0.5046720495044485","0"
"243","5000","5","4.48","0","0.5046720495044484"
"244","5000","5","4.48","0","0.5046720495044484"
"246","5000","5","4.48","0","0.5046720495044485"
"245","5000","4.48","5","0.5046720495044485","0"
"247","5000","5.52","5","0.5046720495044483","0"
"249","5000","5","5.52","0","0.5046720495044485"
"248","5000","4.52","4","0.5046720495044485","0"
"250","5000","5","5.52","0","0.5046720495044485"
"251","5000","5.52","5","0.5046720495044484","0"
"252","5000","4","5.48","0","0.5046720495044485"
"253","5000","5","4.48","0","0.5046720495044484"
"254","5000","5","5.52","0","0.5046720495044484"
"255","5000","5","4.48","0","0.5046720495044484"
"256","5000","5.52","5","0.5046720495044484","0"
"258","5000","5","5.52","0","0.5046720495044485"
"257","5000","5.52","5","0.5046720495044485","0"
"259","5000","5.52","5","0.5046720495044485","0"
"260","5000","5.52","5","0.5046720495044485","0"
"261","5000","5","4.48","0","0.5046720495044485"
"262","5000","4.48","5","0.5046720495044484","0"
"263","5000","5","5.52","0","0.5046720495044484"
"264","5000","4.48","5","0.5046720495044485","0"
"265","5000","5","5.52","0","0.5046720495044485"
"266","5000","5.52","5","0.5046720495044484","0"
"268","5000","5","5.52","0","0.5046720495044485"
"267","5000","5.52","5","0.5046720495044485","0"
"269","5000","5","4.48","0","0.5046720495044484"
"270","5000","5.52","5","0.5046720495044485","0"
"271","5000","5","5.52","0","0.5046720495044484"
"272","5000","4","5.48","0","0.5046720495044485"
"273","5000","5","5.52","0","0.5046720495044484"
"274","5000","5","5.52","0","0.5046720495044485"
"275","5000","5","4.48","0","0.5046720495044485"
"276","5000","5","4.48","0","0.5046720495044485"
"278","5000","5","5.52","0","0.5046720495044484"
"277","5000","5.52","5","0.5046720495044485","0"
"279","5000","5.52","5","0.5046720495044484","0"
"280","5000","5","5.52","0","0.5046720495044484"
"281","5000","5","5.52","0","0.5046720495044485"
"282","5000","5.52","5","0.5046720495044485","0"
"283","5000","4.48","5","0.5046720495044487","0"
"284","5000","5","4.48","0","0.5046720495044487"
"285","5000","5.52","5","0.5046720495044484","0"
"286","5000","6","5.48","0","0.5046720495044484"
"288","5000","5","5.52","0","0.5046720495044484"
"287","5000","4.48","5","0.5046720495044483","0"
"289","5000","5.52","5","0.5046720495044485","0"
"290","5000","5.52","5","0.5046720495044484","0"
"291","5000","4.48","5","0.5046720495044483","0"
"292","5000","5","5.52","0","0.5046720495044484"
"293","5000","5","4.48","0","0.5046720495044485"
"294","5000","4.48","5","0.5046720495044484","0"
"295","5000","5","4.48","0","0.5046720495044484"
"296","5000","5.52","5","0.5046720495044485","0"
"297","5000","5","4.48","0","0.5046720495044485"
"298","5000","5","4.48","0","0.5046720495044485"
"299","5000","5","5.52","0","0.5046720495044485"
"300","5000","5","5.52","0","0.5046720495044485"
"301","5000","5","5.52","0","0.5046720495044485"
"302","5000","5","5.52","0","0.5046720495044484"
"303","5000","5","4.48","0","0.5046720495044484"
"304","5000","4.48","5","0.5046720495044487","0"
"305","5000","5.52","5","0.5046720495044485","0"
"306","5000","5","5.52","0","0.5046720495044484"
"307","5000","5","5.52","0","0.5046720495044485"
"308","5000","5","4.48","0","0.5046720495044484"
"309","5000","5","5.52","0","0.5046720495044485"
"310","5000","5.52","5","0.5046720495044484","0"
"312","5000","5.52","5","0.5046720495044484","0"
"311","5000","4.48","5","0.5046720495044485","0"
"313","5000","5","4.48","0","0.5046720495044485"
"314","5000","5.52","5","0.5046720495044484","0"
"315","5000","5","5.52","0","0.5046720495044485"
"316","5000","6","5.48","0","0.5046720495044484"
"317","5000","4.48","5","0.5046720495044485","0"
"318","5000","5","4.48","0","0.5046720495044484"
"319","5000","4.48","5","0.5046720495044484","0"
"320","5000","4.48","5","0.5046720495044484","0"
"321","5000","4.48","5","0.5046720495044484","0"
"322","5000","5.52","5","0.5046720495044485","0"
"323","5000","5.52","5","0.5046720495044484","0"
"324","5000","4.48","5","0.5046720495044487","0"
"325","5000","5.52","5","0.5046720495044484","0"
"326","5000","5","4.48","0","0.5046720495044484"
"327","5000","5.52","5","0.5046720495044485","0"
"328","5000","5","4.48","0","0.5046720495044487"
"329","5000","5.52","5","0.5046720495044484","0"
"330","5000","5","4.48","0","0.5046720495044485"
"331","5000","4.48","5","0.5046720495044485","0"
"332","5000","5","4.48","0","0.5046720495044484"
"333","5000","5","4.48","0","0.5046720495044485"
"334","5000","5.52","5","0.5046720495044484","0"
"335","5000","5","4.48","0","0.5046720495044485"
"336","5000","5.52","5","0.5046720495044484","0"
"337","5000","4.48","5","0.5046720495044484","0"
"338","5000","4.48","5","0.5046720495044485","0"
"339","5000","5","5.52","0","0.5046720495044487"
"340","5000","5","5.52","0","0.5046720495044485"
"341","5000","5","5.52","0","0.5046720495044484"
"342","5000","5","5.52","0","0.5046720495044484"
"343","5000","5.52","5","0.5046720495044487","0"
"344","5000","5.52","5","0.5046720495044483","0"
"345","5000","5","5.52","0","0.5046720495044485"
"346","5000","5.52","5","0.5046720495044484","0"
"347","5000","5","4.48","0","0.5046720495044484"
"348","5000","4.48","5","0.5046720495044485","0"
"349","5000","5.52","5","0.5046720495044485","0"
"351","5000","4.48","5","0.5046720495044484","0"
"350","5000","4.48","5","0.5046720495044484","0"
"352","5000","5","4.48","0","0.5046720495044485"
"353","5000","4.48","5","0.5046720495044483","0"
"354","5000","5.52","5","0.5046720495044485","0"
"355","5000","5","4.48","0","0.5046720495044484"
"356","5000","4","4.52","0","0.5046720495044484"
"357","5000","5.52","5","0.5046720495044484","0"
"358","5000","5.52","5","0.5046720495044484","0"
"359","5000","5","4.48","0","0.5046720495044485"
"360","5000","4.48","5","0.5046720495044485","0"
"361","5000","5","5.52","0","0.5046720495044485"
"362","5000","4.48","5","0.5046720495044487","0"
"363","5000","5","5.52","0","0.5046720495044484"
"364","5000","5.52","5","0.5046720495044485","0"
"365","5000","4.48","5","0.5046720495044485","0"
"366","5000","5.52","5","0.5046720495044484","0"
"367","5000","5","4.48","0","0.5046720495044484"
"369","5000","4.48","5","0.5046720495044487","0"
"368","5000","5","5.52","0","0.5046720495044485"
"370","5000","5.48","6","0.5046720495044484","0"
"371","5000","5","5.52","0","0.5046720495044487"
"372","5000","4.48","5","0.5046720495044485","0"
"373","5000","5","4.48","0","0.5046720495044485"
"374","5000","5","5.52","0","0.5046720495044485"
"375","5000","5.52","5","0.5046720495044485","0"
"376","5000","5","5.52","0","0.5046720495044485"
"377","5000","5.52","5","0.5046720495044484","0"
"378","5000","5","5.52","0","0.5046720495044484"
"379","5000","5.52","5","0.5046720495044485","0"
"380","5000","5","4.48","0","0.5046720495044484"
"382","5000","4.48","5","0.5046720495044484","0"
"381","5000","5.52","5","0.5046720495044484","0"
"383","5000","4.48","5","0.5046720495044483","0"
"384","5000","5","5.52","0","0.5046720495044484"
"385","5000","5.52","5","0.5046720495044485","0"
"386","5000","5","5.52","0","0.5046720495044485"
"387","5000","4.48","5","0.5046720495044485","0"
"388","5000","5","5.52","0","0.5046720495044485"
"389","5000","5","4.48","0","0.5046720495044485"
"390","5000","5.52","5","0.5046720495044484","0"
"392","5000","5","4.48","0","0.5046720495044487"
"391","5000","5.52","5","0.5046720495044484","0"
"393","5000","4.48","5","0.5046720495044485","0"
"394","5000","4.48","5","0.5046720495044485","0"
"395","5000","4.48","5","0.5046720495044484","0"
"396","5000","5","4.48","0","0.5046720495044484"
"397","5000","5","4.48","0","0.5046720495044484"
"398","5000","5.52","5","0.5046720495044485","0"
"399","5000","5","5.52","0","0.5046720495044485"
"400","5000","5.52","5","0.5046720495044484","0"
"402","5000","4","4.52","0","0.5046720495044484"
"401","5000","4.48","5","0.5046720495044485","0"
"403","5000","5","4.48","0","0.5046720495044485"
"404","5000","4.48","5","0.5046720495044484","0"
"405","5000","5","5.52","0","0.5046720495044485"
"406","5000","5","5.52","0","0.5046720495044485"
"407","5000","4.48","5","0.5046720495044485","0"
"408","5000","4.48","5","0.5046720495044483","0"
"409","5000","5","5.52","0","0.5046720495044485"
"410","5000","5.52","5","0.5046720495044484","0"
"411","5000","5.52","5","0.5046720495044485","0"
"412","5000","4.48","5","0.5046720495044484","0"
"413","5000","5","4.48","0","0.5046720495044484"
"414","5000","4.48","5","0.5046720495044485","0"
"415","5000","5.52","5","0.5046720495044483","0"
"416","5000","5.52","5","0.5046720495044484","0"
"417","5000","5.52","5","0.5046720495044484","0"
"418","5000","5.52","5","0.5046720495044485","0"
"420","5000","5","4.48","0","0.5046720495044483"
"419","5000","5.52","5","0.5046720495044485","0"
"421","5000","4.48","5","0.5046720495044483","0"
"422","5000","5","5.52","0","0.5046720495044485"
"423","5000","4.48","5","0.5046720495044484","0"
"424","5000","5.52","5","0.5046720495044485","0"
"425","5000","5","5.52","0","0.5046720495044483"
"426","5000","5","5.52","0","0.5046720495044485"
"429","5000","5","5.52","0","0.5046720495044485"
"427","5000","5","4.48","0","0.5046720495044484"
"428","5000","4.48","5","0.5046720495044484","0"
"430","5000","5.52","5","0.5046720495044484","0"
"431","5000","5.52","5","0.5046720495044484","0"
"432","5000","5","4.48","0","0.5046720495044485"
"433","5000","5.52","5","0.5046720495044485","0"
"434","5000","5","4.48","0","0.5046720495044484"
"435","5000","5","4.48","0","0.5046720495044484"
"436","5000","5","5.52","0","0.5046720495044485"
"437","5000","5.52","5","0.5046720495044483","0"
"438","5000","5.52","5","0.5046720495044484","0"
"439","5000","5.52","5","0.5046720495044485","0"
"440","5000","4.48","5","0.5046720495044483","0"
"441","5000","5.52","5","0.5046720495044484","0"
"442","5000","5.52","5","0.5046720495044485","0"
"443","5000","5","5.52","0","0.5046720495044484"
"444","5000","4.52","6","0.5046720495044483","0"
"445","5000","4.48","5","0.5046720495044484","0"
"446","5000","5.52","5","0.5046720495044483","0"
"447","5000","4.48","5","0.5046720495044485","0"
"448","5000","5","4.48","0","0.5046720495044484"
"449","5000","5.52","5","0.5046720495044484","0"
"450","5000","4.48","5","0.5046720495044484","0"
"451","5000","4.48","5","0.5046720495044484","0"
"452","5000","4.48","5","0.5046720495044484","0"
"453","5000","5","5.52","0","0.5046720495044485"
"454","5000","4.48","5","0.5046720495044484","0"
"455","5000","5","5.52","0","0.5046720495044484"
"456","5000","5","4.48","0","0.5046720495044485"
"457","5000","5","4.48","0","0.5046720495044485"
"458","5000","5","5.52","0","0.5046720495044485"
"459","5000","5","4.48","0","0.5046720495044485"
"460","5000","5","4.48","0","0.5046720495044485"
"461","5000","5","5.52","0","0.5046720495044484"
"462","5000","5.52","5","0.5046720495044484","0"
"463","5000","4.48","5","0.5046720495044485","0"
"464","5000","5.52","5","0.5046720495044484","0"
"465","5000","5.52","5","0.5046720495044484","0"
"466","5000","4.48","5","0.5046720495044484","0"
"467","5000","5.48","6","0.5046720495044485","0"
"468","5000","5","4.48","0","0.5046720495044483"
"469","5000","4.48","5","0.5046720495044484","0"
"470","5000","5","5.52","0","0.5046720495044484"
"471","5000","4.52","6","0.5046720495044484","0"
"472","5000","5.52","5","0.5046720495044485","0"
"473","5000","5","5.52","0","0.5046720495044484"
"474","5000","5","5.52","0","0.5046720495044484"
"475","5000","5","4.48","0","0.5046720495044485"
"477","5000","5","4.48","0","0.5046720495044485"
"476","5000","5.52","5","0.5046720495044485","0"
"478","5000","4.48","5","0.5046720495044485","0"
"479","5000","5","5.52","0","0.5046720495044485"
"480","5000","5","4.48","0","0.5046720495044485"
"481","5000","5","4.48","0","0.5046720495044484"
"483","5000","5","4.48","0","0.5046720495044485"
"482","5000","5.52","5","0.5046720495044484","0"
"484","5000","5.52","5","0.5046720495044484","0"
"485","5000","5","5.52","0","0.5046720495044484"
"486","5000","5","5.52","0","0.5046720495044484"
"487","5000","4.48","5","0.5046720495044487","0"
"488","5000","5.52","5","0.5046720495044484","0"
"490","5000","5","4.48","0","0.5046720495044485"
"489","5000","5.52","5","0.5046720495044485","0"
"491","5000","5","4.48","0","0.5046720495044484"
"492","5000","5.52","5","0.5046720495044485","0"
"493","5000","5.52","5","0.5046720495044484","0"
"494","5000","5.52","5","0.5046720495044487","0"
"496","5000","5","5.52","0","0.5046720495044484"
"495","5000","5.52","5","0.5046720495044485","0"
"497","5000","5","5.52","0","0.5046720495044484"
